         326772 function calls (325324 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:90(handle_startendtag)
       22    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1136(putrequest)
     13/6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:452(_parse_sub)
       10    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/connection.py:355(putheader)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:52(__init__)
        2    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/util/response.py:40(assert_header_parsing)
        3    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/util/url.py:367(parse_url)
       13    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       52    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_policybase.py:319(header_fetch_parse)
       54    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/utils.py:52(_has_surrogates)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
